marital status,age,gender,rooms,hobbies,alcoholic,annual_income,fav_color,other_props,work_hours,avg_energy,other_cities,office_distance,devotional,ed_qualification,expenses,genre,nature_lover,high_raise_apt,sports,texture,outing,group
1,14,1,2,0,1,556724,8,3,5,3139,1,15,0,12,29,1,0,0,2,4,1,7
0,62,0,2,9,0,428343,0,2,6,875,3,4,0,17,18,2,0,1,0,3,2,10
0,41,0,2,9,0,3017170,1,2,8,486,1,14,1,15,8,9,1,1,3,2,0,4
1,59,0,1,9,1,862365,7,1,4,1516,1,6,1,14,9,7,1,1,1,4,0,10
0,60,1,1,4,1,680555,5,4,12,768,1,8,0,21,9,0,0,1,0,3,1,5
0,21,0,4,8,0,329840,4,2,5,3467,3,14,1,4,7,4,0,1,2,2,0,9
3,14,2,1,6,1,7135245,1,1,12,1166,2,17,0,13,11,7,1,1,2,4,0,6
0,14,0,3,6,0,403987,5,2,8,2699,2,1,1,17,10,1,1,1,3,0,1,9
2,30,1,1,7,1,967908,8,2,10,1399,1,2,1,14,30,2,0,1,2,0,0,8
0,7,0,3,3,0,716230,3,3,6,355,3,5,1,13,25,1,1,1,3,0,0,9
2,27,1,1,1,0,7850318,1,2,10,2573,2,6,0,18,23,3,1,1,3,0,2,6
1,20,0,1,9,1,218690,7,8,5,337,3,11,0,20,39,1,0,0,3,0,2,1
0,36,1,3,4,1,403987,7,4,8,543,3,3,1,15,9,2,0,1,2,1,0,4
1,30,0,1,3,1,984830,7,2,10,853,3,4,1,5,3,1,1,1,2,1,2,10
0,25,1,3,2,0,218690,0,1,5,1767,1,17,1,14,7,5,1,1,2,2,0,9
1,24,1,1,2,0,6969252,4,1,9,2690,1,23,1,14,27,3,0,1,3,0,0,2
0,20,1,3,2,0,2074427,5,2,5,2831,2,4,1,15,10,2,1,1,0,2,0,4
0,19,0,3,9,1,8348261,7,1,9,2733,3,18,0,4,27,5,1,0,1,2,1,4
0,14,1,1,4,1,5321373,0,2,3,853,3,15,0,14,17,0,1,0,2,2,2,4
1,48,1,2,6,1,329840,8,1,9,2690,3,15,1,16,5,8,0,1,1,2,1,9
2,37,0,1,9,0,910711,4,1,4,602,3,6,0,12,8,9,1,0,1,4,0,8
1,18,0,3,2,1,3498858,6,2,4,1503,3,15,1,12,7,7,0,1,3,1,0,6
1,34,0,1,6,0,589089,3,2,9,1869,3,6,0,13,38,2,0,0,3,2,0,10
1,48,0,2,1,0,5321373,1,2,5,1047,1,7,1,14,3,1,0,1,0,3,2,6
0,31,0,1,7,1,657054,1,4,0,2202,2,2,1,14,8,0,0,0,1,4,0,9
1,43,1,3,2,0,588503,6,2,10,543,1,23,1,20,39,7,1,1,3,1,2,9
0,24,0,3,6,1,1164430,0,2,5,1902,3,20,1,13,8,9,0,1,2,1,1,4
3,39,0,1,2,1,816236,0,2,5,3912,3,4,1,9,10,1,0,0,2,2,1,8
2,16,0,1,7,0,6941819,3,1,8,845,2,4,1,11,9,7,1,0,0,2,0,6
0,25,0,2,8,1,131480,8,1,8,828,2,5,0,17,5,8,0,0,1,1,1,10
1,21,0,1,9,1,8348261,0,2,8,2202,1,15,1,5,21,5,0,1,1,2,0,1
3,23,1,3,0,1,984830,1,4,1,921,3,24,0,14,18,6,1,1,2,3,1,6
1,6,0,2,8,0,556724,3,1,12,845,1,20,1,14,10,3,1,1,3,2,2,7
0,55,0,1,2,1,218690,0,4,10,768,3,10,1,18,23,6,0,1,0,4,0,5
0,31,1,3,4,1,588503,3,4,12,1552,1,4,1,17,3,2,0,0,2,3,1,4
2,39,0,2,6,0,335973,10,2,11,3286,3,13,0,14,20,5,0,1,3,3,0,8
0,51,2,2,3,1,148716,1,2,3,3979,3,21,1,3,3,2,0,1,1,2,1,5
1,30,0,1,3,0,329840,3,2,3,521,3,15,1,17,25,4,1,1,3,3,1,10
1,25,1,2,3,1,6153800,5,2,9,2375,1,1,0,3,20,8,1,0,0,4,0,2
2,11,1,2,2,1,212243,7,7,10,379,3,6,1,7,10,2,0,1,3,0,0,6
1,37,1,1,7,1,6683746,9,2,12,2573,2,1,1,12,16,5,0,1,2,3,0,6
0,30,0,2,7,0,8596595,6,2,5,251,2,9,1,2,31,1,0,0,1,0,1,4
0,30,1,2,4,0,2753719,10,2,10,884,1,3,1,15,3,5,0,0,1,1,0,9
1,30,1,1,0,0,2753719,7,4,5,3954,3,8,0,16,10,5,1,1,3,1,1,6
0,12,0,4,1,0,589089,8,2,5,1987,1,1,0,12,15,9,1,0,3,0,1,9
1,37,0,3,0,0,111985,10,2,9,1902,3,15,1,13,9,9,0,0,0,3,0,9
2,12,1,1,3,1,5007892,3,2,10,3467,1,1,1,3,30,1,0,0,0,2,1,6
0,11,0,2,3,0,428343,7,2,2,486,3,1,0,13,23,5,1,0,3,2,2,10
0,27,0,1,1,1,310904,0,1,6,897,3,5,1,14,38,4,1,0,3,2,0,9
0,51,0,1,6,0,656271,0,2,8,828,3,6,0,7,27,4,0,1,0,0,2,10
0,23,1,3,7,0,8273815,10,2,12,306,3,15,0,17,27,6,0,1,2,3,1,4
0,52,2,3,4,1,5797253,3,1,10,263,1,6,1,12,12,6,1,0,2,1,2,4
0,20,1,2,4,0,1718402,0,1,9,1399,2,14,1,13,7,3,0,1,2,4,2,9
0,53,1,3,4,1,949312,3,2,8,263,3,4,1,22,27,7,1,1,2,2,1,5
1,45,0,2,0,0,329840,0,2,5,1399,1,10,0,17,12,6,0,1,0,3,0,10
3,23,1,4,2,1,891648,3,2,4,519,1,11,1,12,10,2,1,1,3,4,1,6
0,29,0,3,6,1,218690,4,7,9,689,3,23,0,22,10,0,1,0,3,0,1,4
0,23,1,1,6,0,8973395,2,2,10,884,1,11,1,12,40,7,1,0,1,4,0,4
1,72,0,1,7,1,1069422,3,1,12,768,2,6,0,17,13,0,0,1,2,0,1,10
0,62,0,2,7,0,652739,7,7,4,1394,3,8,0,14,8,9,1,1,2,1,1,4
3,8,1,4,2,0,1795936,6,8,5,1244,1,28,1,15,14,8,1,1,0,2,1,4
0,15,0,2,9,0,754169,8,1,10,2551,1,10,0,12,19,7,0,1,1,3,1,10
0,19,0,2,4,1,9587831,10,2,4,2573,1,6,1,12,30,1,1,0,2,4,2,3
0,62,1,4,1,1,7850318,3,1,5,263,1,4,1,17,15,6,0,0,3,2,0,4
2,21,1,2,3,0,574390,4,1,9,1758,2,10,1,22,29,5,1,1,0,4,2,8
0,20,0,3,1,1,5797253,6,2,9,602,2,10,1,15,14,6,1,1,3,1,1,4
0,62,1,3,9,1,1360106,8,1,8,1649,2,2,0,13,10,0,1,1,0,2,0,5
2,37,0,3,0,0,1360106,10,4,7,395,2,5,1,17,12,1,1,1,3,4,2,6
0,13,0,1,7,0,8543553,3,8,8,1767,1,1,1,21,23,9,1,0,3,1,1,3
1,73,1,1,1,0,2462054,3,1,10,1767,2,20,1,18,38,8,0,1,0,4,1,9
0,26,2,1,0,0,2074427,10,2,0,3214,3,21,1,12,40,8,0,0,2,0,2,9
2,20,1,3,2,0,2074427,4,2,8,396,3,8,0,14,7,3,0,0,3,3,1,6
0,73,0,2,0,1,893732,8,2,8,689,3,5,0,6,10,7,0,0,3,2,2,5
