marital status,age,gender,rooms,hobbies,alcoholic,annual_income,fav_color,other_props,work_hours,avg_energy,other_cities,office_distance,ethnicity,devotional,ed_qualification,expenses,genre,nature_lover,high_raise_apt,sports,texture,outing,group
1,14,1,2,sports,1,556724,white,3,5,3139,jammu,15,hindi,0,12,29,pop,0,0,virtual,fluffy,1,7
0,62,0,2,acting,0,428343,red,2,6,875,lucknow,4,hindi,0,17,18,jaaz,0,1,indoor,matte,2,10
0,41,0,2,acting,0,3017170,pink,2,8,486,gangtok,14,bengali,1,15,8,cover,1,1,augmented,hard,0,4
1,59,0,1,acting,1,862365,brown,1,4,1516,lucknow,6,bengali,1,14,9,hiphop,1,1,outdoor,fluffy,0,10
0,60,1,1,volunteering,1,680555,green,4,12,768,shimla,8,tamil,0,21,9,rock,0,1,indoor,matte,1,5
0,21,0,4,traveling,0,329840,purple,2,5,3467,mumbai,14,tamil,1,4,7,metallic,0,1,virtual,hard,0,9
3,14,2,1,singing,1,7135245,pink,1,12,1166,raipur,17,tamil,0,13,11,hiphop,1,1,virtual,fluffy,0,6
0,14,0,3,singing,0,403987,green,2,8,2699,agartala,1,marathi,1,17,10,pop,1,1,augmented,soft,1,9
2,30,1,1,sleeping,1,967908,white,2,10,1399,panaji,2,tamil,1,14,30,jaaz,0,1,virtual,soft,0,8
0,7,0,3,cooking,0,716230,yellow,3,6,355,itanagar,5,tamil,1,13,25,pop,1,1,augmented,soft,0,9
2,27,1,1,reading,0,7850318,pink,2,10,2573,chandigarh,6,telugu,0,18,23,soft,1,1,augmented,soft,2,6
1,20,0,1,acting,1,218690,brown,8,5,337,bhopal,11,bengali,0,20,39,pop,0,0,augmented,soft,2,1
0,36,1,3,volunteering,1,403987,brown,4,8,543,dispur,3,marathi,1,15,9,jaaz,0,1,virtual,silky,0,4
1,30,0,1,cooking,1,984830,brown,2,10,853,bhopal,4,punjabi,1,5,3,pop,1,1,virtual,silky,2,10
0,25,1,3,watching,0,218690,red,1,5,1767,itanagar,17,bengali,1,14,7,romantic,1,1,virtual,hard,0,9
1,24,1,1,watching,0,6969252,purple,1,9,2690,shimla,23,marathi,1,14,27,soft,0,1,augmented,soft,0,2
0,20,1,3,watching,0,2074427,green,2,5,2831,hyderbad,4,kannada,1,15,10,jaaz,1,1,indoor,hard,0,4
0,19,0,3,acting,1,8348261,brown,1,9,2733,chennai,18,tamil,0,4,27,romantic,1,0,outdoor,hard,1,4
0,14,1,1,volunteering,1,5321373,red,2,3,853,agartala,15,punjabi,0,14,17,rock,1,0,virtual,hard,2,4
1,48,1,2,singing,1,329840,white,1,9,2690,srinagar,15,hindi,1,16,5,mashups,0,1,outdoor,hard,1,9
2,37,0,1,acting,0,910711,purple,1,4,602,jammu,6,kannada,0,12,8,cover,1,0,outdoor,fluffy,0,8
1,18,0,3,watching,1,3498858,blue,2,4,1503,gangtok,15,malayalam,1,12,7,hiphop,0,1,augmented,silky,0,6
1,34,0,1,singing,0,589089,yellow,2,9,1869,thiruvananthapuram,6,punjabi,0,13,38,jaaz,0,0,augmented,hard,0,10
1,48,0,2,reading,0,5321373,pink,2,5,1047,shillong,7,bengali,1,14,3,pop,0,1,indoor,matte,2,6
0,31,0,1,sleeping,1,657054,pink,4,0,2202,chandigarh,2,hindi,1,14,8,rock,0,0,outdoor,fluffy,0,9
1,43,1,3,watching,0,588503,blue,2,10,543,shimla,23,malayalam,1,20,39,hiphop,1,1,augmented,silky,2,9
0,24,0,3,singing,1,1164430,red,2,5,1902,chandigarh,20,telugu,1,13,8,cover,0,1,virtual,silky,1,4
3,39,0,1,watching,1,816236,red,2,5,3912,patna,4,hindi,1,9,10,pop,0,0,virtual,hard,1,8
2,16,0,1,sleeping,0,6941819,yellow,1,8,845,panaji,4,kannada,1,11,9,hiphop,1,0,indoor,hard,0,6
0,25,0,2,traveling,1,131480,white,1,8,828,raipur,5,tamil,0,17,5,mashups,0,0,outdoor,silky,1,10
1,21,0,1,acting,1,8348261,red,2,8,2202,bhubaneswar,15,tamil,1,5,21,romantic,0,1,outdoor,hard,0,1
3,23,1,3,sports,1,984830,pink,4,1,921,jaipur,24,marathi,0,14,18,folk,1,1,virtual,matte,1,6
1,6,0,2,traveling,0,556724,yellow,1,12,845,aizawl,20,marathi,1,14,10,soft,1,1,augmented,hard,2,7
0,55,0,1,watching,1,218690,red,4,10,768,delhi,10,tamil,1,18,23,folk,0,1,indoor,fluffy,0,5
0,31,1,3,volunteering,1,588503,yellow,4,12,1552,ranchi,4,marathi,1,17,3,jaaz,0,0,virtual,matte,1,4
2,39,0,2,singing,0,335973,black,2,11,3286,gangtok,13,punjabi,0,14,20,romantic,0,1,augmented,matte,0,8
0,51,2,2,cooking,1,148716,pink,2,3,3979,mumbai,21,marathi,1,3,3,jaaz,0,1,outdoor,hard,1,5
1,30,0,1,cooking,0,329840,yellow,2,3,521,dispur,15,telugu,1,17,25,metallic,1,1,augmented,matte,1,10
1,25,1,2,cooking,1,6153800,green,2,9,2375,itanagar,1,hindi,0,3,20,mashups,1,0,indoor,fluffy,0,2
2,11,1,2,watching,1,212243,brown,7,10,379,dispur,6,malayalam,1,7,10,jaaz,0,1,augmented,soft,0,6
1,37,1,1,sleeping,1,6683746,grey,2,12,2573,thiruvananthapuram,1,hindi,1,12,16,romantic,0,1,virtual,matte,0,6
