marital status,age,gender,rooms,hobbies,alcoholic,annual_income,fav_color,other_props,work_hours,avg_energy,other_cities,office_distance,ethnicity,devotional,ed_qualification,expenses,genre,nature_lover,high_raise_apt,sports,texture,outing
unmarried,14,female,2,sports,yes,556724,white,3,5,3139,jammu,15,hindi,no,12,29,pop,no,no,virtual,fluffy,yes
married,62,male,2,acting,no,428343,red,2,6,875,lucknow,4,hindi,no,17,18,jaaz,no,yes,indoor,matte,not so often
married,41,male,2,acting,no,3017170,pink,2,8,486,gangtok,14,bengali,yes,15,8,cover,yes,yes,augmented,hard,no
unmarried,59,male,1,acting,yes,862365,brown,1,4,1516,lucknow,6,bengali,yes,14,9,hiphop,yes,yes,outdoor,fluffy,no
married,60,female,1,volunteering,yes,680555,green,4,12,768,shimla,8,tamil,no,21,9,rock,no,yes,indoor,matte,yes
married,21,male,4,traveling,no,329840,purple,2,5,3467,mumbai,14,tamil,yes,4,7,metallic,no,yes,virtual,hard,no
widow,14,unspecified,1,singing,yes,7135245,pink,1,12,1166,raipur,17,tamil,no,13,11,hiphop,yes,yes,virtual,fluffy,no
married,14,male,3,singing,no,403987,green,2,8,2699,agartala,1,marathi,yes,17,10,pop,yes,yes,augmented,soft,yes
divorced,30,female,1,sleeping,yes,967908,white,2,10,1399,panaji,2,tamil,yes,14,30,jaaz,no,yes,virtual,soft,no
married,7,male,3,cooking,no,716230,yellow,3,6,355,itanagar,5,tamil,yes,13,25,pop,yes,yes,augmented,soft,no
divorced,27,female,1,reading,no,7850318,pink,2,10,2573,chandigarh,6,telugu,no,18,23,soft,yes,yes,augmented,soft,not so often
unmarried,20,male,1,acting,yes,218690,brown,8,5,337,bhopal,11,bengali,no,20,39,pop,no,no,augmented,soft,not so often
married,36,female,3,volunteering,yes,403987,brown,4,8,543,dispur,3,marathi,yes,15,9,jaaz,no,yes,virtual,silky,no
unmarried,30,male,1,cooking,yes,984830,brown,2,10,853,bhopal,4,punjabi,yes,5,3,pop,yes,yes,virtual,silky,not so often
married,25,female,3,watching,no,218690,red,1,5,1767,itanagar,17,bengali,yes,14,7,romantic,yes,yes,virtual,hard,no
unmarried,24,female,1,watching,no,6969252,purple,1,9,2690,shimla,23,marathi,yes,14,27,soft,no,yes,augmented,soft,no
married,20,female,3,watching,no,2074427,green,2,5,2831,hyderbad,4,kannada,yes,15,10,jaaz,yes,yes,indoor,hard,no
